dataset,Metric,experiment_name,partition name,backbone,decoder,batch_size_selection,early_stop_patience,n_trials,Seed,data_percentages,batch_size,weight_decay,lr,test metric
chesapeake,Multiclass_Jaccard_Index,early_stopping_50_data_100_perc_ssl4eos12_resnet50_sentinel2_all_decur_smp_unet,1.00x train,ssl4eos12_resnet50_sentinel2_all_decur,smp_Unet,optimized,50,16,4074,100%,8,0.376311714631646,8.49502710213644e-05,0.6672176122665405
chesapeake,Multiclass_Jaccard_Index,early_stopping_50_data_100_perc_ssl4eos12_resnet50_sentinel2_all_decur_smp_unet,1.00x train,ssl4eos12_resnet50_sentinel2_all_decur,smp_Unet,optimized,50,16,1897,100%,8,0.376311714631646,8.49502710213644e-05,0.6660189628601074
chesapeake,Multiclass_Jaccard_Index,early_stopping_50_data_100_perc_ssl4eos12_resnet50_sentinel2_all_decur_smp_unet,1.00x train,ssl4eos12_resnet50_sentinel2_all_decur,smp_Unet,optimized,50,16,1270,100%,8,0.376311714631646,8.49502710213644e-05,0.6640214920043945
chesapeake,Multiclass_Jaccard_Index,early_stopping_50_data_100_perc_ssl4eos12_resnet50_sentinel2_all_decur_smp_unet,1.00x train,ssl4eos12_resnet50_sentinel2_all_decur,smp_Unet,optimized,50,16,3768,100%,8,0.376311714631646,8.49502710213644e-05,0.6960753202438354
chesapeake,Multiclass_Jaccard_Index,early_stopping_50_data_100_perc_ssl4eos12_resnet50_sentinel2_all_decur_smp_unet,1.00x train,ssl4eos12_resnet50_sentinel2_all_decur,smp_Unet,optimized,50,16,3401,100%,8,0.376311714631646,8.49502710213644e-05,0.6873977184295654
chesapeake,Multiclass_Jaccard_Index,early_stopping_50_data_100_perc_ssl4eos12_resnet50_sentinel2_all_decur_smp_unet,1.00x train,ssl4eos12_resnet50_sentinel2_all_decur,smp_Unet,optimized,50,16,3224,100%,8,0.376311714631646,8.49502710213644e-05,0.6798655986785889
chesapeake,Multiclass_Jaccard_Index,early_stopping_50_data_100_perc_ssl4eos12_resnet50_sentinel2_all_decur_smp_unet,1.00x train,ssl4eos12_resnet50_sentinel2_all_decur,smp_Unet,optimized,50,16,2874,100%,8,0.376311714631646,8.49502710213644e-05,0.651594340801239
chesapeake,Multiclass_Jaccard_Index,early_stopping_50_data_100_perc_ssl4eos12_resnet50_sentinel2_all_decur_smp_unet,1.00x train,ssl4eos12_resnet50_sentinel2_all_decur,smp_Unet,optimized,50,16,3985,100%,8,0.376311714631646,8.49502710213644e-05,0.6867294311523438
chesapeake,Multiclass_Jaccard_Index,early_stopping_50_data_100_perc_ssl4eos12_resnet50_sentinel2_all_decur_smp_unet,1.00x train,ssl4eos12_resnet50_sentinel2_all_decur,smp_Unet,optimized,50,16,4143,100%,8,0.376311714631646,8.49502710213644e-05,0.665279746055603
chesapeake,Multiclass_Jaccard_Index,early_stopping_50_data_100_perc_ssl4eos12_resnet50_sentinel2_all_decur_smp_unet,1.00x train,ssl4eos12_resnet50_sentinel2_all_decur,smp_Unet,optimized,50,16,52,100%,8,0.376311714631646,8.49502710213644e-05,0.6851502656936646
